source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1911/1911-THN,1911,Kansas State League,fedor,P2169500,Fedor,,,Great Bend,19110512,19110524,12,0,ss12
boxscores/1911/1911-TWJ,1911,Kansas State League,fedor,P8796967,Fedor,,,Great Bend,19110511,19110511,1,0,ss1
boxscores/1911/1911-THN,1911,Kansas State League,ferrell,P7714631,Ferrell,,,Newton,19110512,19110524,5,0,1b5
boxscores/1911/1911-THN,1911,Kansas State League,finney,P6714828,Finney,,,Wellington,19110520,19110524,5,0,"of5,lf4,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,flood,P2462191,Flood,,,Newton,19110512,19110519,6,0,c6
boxscores/1911/1911-THN,1911,Kansas State League,fox-gb,P0995321,Fox,,,Great Bend,19110514,19110518,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,fox-hut,P9376624,Fox,,,Hutchinson,19110520,19110520,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,freeman,P1940377,Freeman,,,Newton,19110511,19110524,11,0,"3b10,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,fuller,P6325076,Fuller,,,El Dorado,19110511,19110524,13,0,"of13,lf6,rf7"
boxscores/1911/1911-THN,1911,Kansas State League,gardner,P6100626,Gardner,,,McPherson,19110511,19110517,7,0,"of7,lf3,rf4"
boxscores/1911/1911-THN,1911,Kansas State League,garrett-ed,P0054115,Garrett,,,El Dorado,19110511,19110524,11,0,"c8,of3,cf1,rf3"
boxscores/1911/1911-THN,1911,Kansas State League,garrett-hut,P3135516,Garrett,,,Hutchinson,19110524,19110524,1,0,"of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,giffin,P0391894,Giffin,,,Wellington,19110512,19110524,11,4,"p4,1b4,2b2"
boxscores/1911/1911-TWJ,1911,Kansas State League,giffin,P9098305,Giffin,,,Wellington,19110511,19110511,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,green,P6451872,Green,,,McPherson,19110511,19110524,10,0,1b9
boxscores/1911/1911-THN,1911,Kansas State League,groom@ump,P0876470,Groom,,,#umpire,19110524,19110524,,,
boxscores/1911/1911-THN,1911,Kansas State League,groom@ump,P3424553,Grooms,,,#umpire,19110511,19110522,,,
